jd,UTC,jd_norm
2704617.911393397,2016-10-29T21:45:16.335,776.7280318108387
2704618.0875038956,2016-10-30T01:58:51.338,776.9041423094459
2704618.161570851,2016-10-30T03:45:30.327,776.9782092650421
2704618.3376808977,2016-10-30T07:59:05.296,777.1543193114921
2704618.411747695,2016-10-30T09:45:44.273,777.2283861087635
2704618.6619241377,2016-10-30T15:45:58.191,777.4785625515506
2704618.9121003877,2016-10-30T21:46:12.098,777.7287388015538
2704619.0882099597,2016-10-31T01:59:47.040,777.904848373495
2704619.1622766485,2016-10-31T03:46:26.014,777.9789150622673
2704619.338386349,2016-10-31T08:00:00.971,778.155024762731
2704619.4124531215,2016-10-31T09:46:39.954,778.2290915353224
2704619.588563089,2016-10-31T14:00:14.939,778.40520150261
2704619.6626300025,2016-10-31T15:46:53.935,778.4792684162967
2704619.838740373,2016-10-31T20:00:28.960,778.655378786847
2704619.9128074837,2016-10-31T21:47:07.976,778.7294458975084
2704620.0889183898,2016-11-01T02:00:43.051,778.9055568035692
2704620.1629857533,2016-11-01T03:47:22.091,778.9796241670847
2704620.3390973248,2016-11-01T08:00:57.228,779.1557357385755
2704620.4131649947,2016-11-01T09:47:36.297,779.2298034084961
2704620.589277357,2016-11-01T14:01:11.507,779.4059157706797
2704620.6633453853,2016-11-01T15:47:50.608,779.4799837991595
2704620.839458661,2016-11-01T20:01:25.902,779.6560970749706
2704620.913527099,2016-11-01T21:48:05.041,779.7301655127667
2704621.089641407,2016-11-02T02:01:40.429,779.9062798209488
2704701.6144815944,2017-01-21T14:37:40.837,860.4311200082302
2704701.6885403404,2017-01-21T16:24:19.912,860.5051787542179
2704715.6933384123,2017-02-04T16:32:39.631,874.5099768261425
2704715.8694257746,2017-02-04T20:46:14.760,874.6860641883686
2704790.1907597533,2017-04-20T04:38:14.334,949.0073981671594
2704790.3668493195,2017-04-20T08:51:49.545,949.1834877333604
2704790.4409068064,2017-04-20T10:38:28.561,949.2575452202
2704798.620680396,2017-04-28T14:58:07.510,957.4373188097961
2704798.6947387443,2017-04-28T16:44:46.542,957.5113771581091
2704798.870830249,2017-04-28T20:58:21.776,957.687468662858
2704798.9448900516,2017-04-28T22:45:00.932,957.7615284654312
2704898.222689149,2017-08-06T05:23:43.828,1057.0393275627866
2704917.9756170027,2017-08-25T23:25:36.961,1076.7922554165125
2704918.0496868477,2017-08-26T01:12:16.033,1076.866325261537
2704950.7099207733,2017-09-27T16:58:43.951,1109.5265591870993
2705075.217882867,2018-01-30T05:07:22.044,1234.0345212807879
2705075.291941467,2018-01-30T06:54:01.169,1234.1085798810236
2705096.7175788446,2018-02-20T17:09:27.119,1255.5342172584496
2705096.7916356768,2018-02-20T18:56:06.199,1255.6082740905695
2705126.7005195725,2018-03-22T16:48:51.859,1285.5171579862945
2705126.774576135,2018-03-22T18:35:30.928,1285.5912145487964
2705273.342781192,2018-08-16T08:15:31.539,1432.159419605974
2705298.0165074095,2018-09-10T00:22:32.957,1456.8331458233297
2705326.5095421528,2018-10-08T12:08:51.745,1485.326180566568
2705326.5836114143,2018-10-08T13:55:30.799,1485.4002498281188
2705450.265262831,2019-02-09T06:16:40.140,1609.0819012448192
2705450.3393203877,2019-02-09T08:03:19.234,1609.155958801508
2705476.5064274324,2019-03-07T12:07:18.208,1635.323065846227
2705476.580483694,2019-03-07T13:53:57.265,1635.3971221079119
2705502.246684852,2019-04-02T05:56:38.855,1661.063323265873
2705502.320742067,2019-04-02T07:43:17.948,1661.1373804807663
2705635.9693674524,2019-08-13T23:18:06.316,1794.7860058662482
2705636.0434363578,2019-08-14T01:04:45.354,1794.8600747715682
2705663.7647006987,2019-09-10T18:19:52.264,1822.581339112483
2705689.381542148,2019-10-06T09:04:49.365,1848.1981805618852
